fen
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1
rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2
rnbqkbnr/pp1ppppp/2p5/8/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 2
rnbqkbnr/pp2pppp/2p5/3p4/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 0 3
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 3
rnbqkbnr/pp2pppp/2p5/8/3Pp3/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 4
rnbqkbnr/pp2pppp/2p5/8/3PN3/8/PPP2PPP/R1BQKBNR b KQkq - 0 4
rnbqkb1r/pp2pppp/2p2n2/8/3PN3/8/PPP2PPP/R1BQKBNR w KQkq - 1 5
rnbqkb1r/pp2pppp/2p2N2/8/3P4/8/PPP2PPP/R1BQKBNR b KQkq - 0 5
rnbqkb1r/pp3ppp/2p2p2/8/3P4/8/PPP2PPP/R1BQKBNR w KQkq - 0 6
rnbqkb1r/pp3ppp/2p2p2/8/3P4/5N2/PPP2PPP/R1BQKB1R b KQkq - 1 6
rnbqk2r/pp3ppp/2pb1p2/8/3P4/5N2/PPP2PPP/R1BQKB1R w KQkq - 2 7
rnbqk2r/pp3ppp/2pb1p2/8/2BP4/5N2/PPP2PPP/R1BQK2R b KQkq - 3 7
rnbq1rk1/pp3ppp/2pb1p2/8/2BP4/5N2/PPP2PPP/R1BQK2R w KQ - 4 8
rnbq1rk1/pp3ppp/2pb1p2/8/2BP4/5N2/PPP2PPP/R1BQ1RK1 b - - 5 8
rn1q1rk1/pp3ppp/2pb1p2/8/2BP2b1/5N2/PPP2PPP/R1BQ1RK1 w - - 6 9
rn1q1rk1/pp3ppp/2pb1p2/8/2BP2b1/5N1P/PPP2PP1/R1BQ1RK1 b - - 0 9
rn1q1rk1/pp3ppp/2pb1p2/8/2BP4/5b1P/PPP2PP1/R1BQ1RK1 w - - 0 10
rn1q1rk1/pp3ppp/2pb1p2/8/2BP4/5Q1P/PPP2PP1/R1B2RK1 b - - 0 10
rn1qr1k1/pp3ppp/2pb1p2/8/2BP4/5Q1P/PPP2PP1/R1B2RK1 w - - 1 11
rn1qr1k1/pp3ppp/2pb1p2/3P4/2B5/5Q1P/PPP2PP1/R1B2RK1 b - - 0 11
rn2r1k1/ppq2ppp/2pb1p2/3P4/2B5/5Q1P/PPP2PP1/R1B2RK1 w - - 1 12
rn2r1k1/ppq2ppp/2pb1p2/3P4/2B5/1Q5P/PPP2PP1/R1B2RK1 b - - 2 12
rn2r1k1/p1q2ppp/2pb1p2/1p1P4/2B5/1Q5P/PPP2PP1/R1B2RK1 w - - 0 13
rn2r1k1/p1q2ppp/2pb1p2/1p1P4/8/1Q1B3P/PPP2PP1/R1B2RK1 b - - 1 13
rn2r1k1/2q2ppp/p1pb1p2/1p1P4/8/1Q1B3P/PPP2PP1/R1B2RK1 w - - 0 14
rn2r1k1/2q2ppp/p1pb1p2/1p1P4/P7/1Q1B3P/1PP2PP1/R1B2RK1 b - - 0 14
r3r1k1/2qn1ppp/p1pb1p2/1p1P4/P7/1Q1B3P/1PP2PP1/R1B2RK1 w - - 1 15
r3r1k1/2qn1ppp/p1Pb1p2/1p6/P7/1Q1B3P/1PP2PP1/R1B2RK1 b - - 0 15
r3r1k1/2q2ppp/p1Pb1p2/1pn5/P7/1Q1B3P/1PP2PP1/R1B2RK1 w - - 1 16
r3r1k1/2q2ppp/p1Pb1p2/1pnQ4/P7/3B3P/1PP2PP1/R1B2RK1 b - - 2 16
r3r1k1/2q2ppp/p1Pb1p2/1p1Q4/P7/3n3P/1PP2PP1/R1B2RK1 w - - 0 17
r3r1k1/2q2ppp/p1Pb1p2/1p1Q4/P7/3P3P/1P3PP1/R1B2RK1 b - - 0 17
3rr1k1/2q2ppp/p1Pb1p2/1p1Q4/P7/3P3P/1P3PP1/R1B2RK1 w - - 1 18
3rr1k1/2q2ppp/p1Pb1p2/1p5Q/P7/3P3P/1P3PP1/R1B2RK1 b - - 2 18
3rr1k1/2q2p1p/p1Pb1pp1/1p5Q/P7/3P3P/1P3PP1/R1B2RK1 w - - 0 19
3rr1k1/2q2p1p/p1Pb1pp1/1p6/P7/3P1Q1P/1P3PP1/R1B2RK1 b - - 1 19
2r1r1k1/2q2p1p/p1Pb1pp1/1p6/P7/3P1Q1P/1P3PP1/R1B2RK1 w - - 2 20
2r1r1k1/2q2p1p/p1Pb1pp1/1P6/8/3P1Q1P/1P3PP1/R1B2RK1 b - - 0 20
2r1r1k1/2q2p1p/2Pb1pp1/1p6/8/3P1Q1P/1P3PP1/R1B2RK1 w - - 0 21
2r1r1k1/2q2p1p/2Pb1Qp1/1p6/8/3P3P/1P3PP1/R1B2RK1 b - - 0 21
2r1r1k1/5p1p/2qb1Qp1/1p6/8/3P3P/1P3PP1/R1B2RK1 w - - 0 22
2r1r1k1/5p1p/2qb2p1/1p6/3Q4/3P3P/1P3PP1/R1B2RK1 b - - 1 22
3rr1k1/5p1p/2qb2p1/1p6/3Q4/3P3P/1P3PP1/R1B2RK1 w - - 2 23
3rr1k1/5p1p/2qb2p1/1p6/7Q/3P3P/1P3PP1/R1B2RK1 b - - 3 23
3rr1k1/5p1p/3b2p1/1p1q4/7Q/3P3P/1P3PP1/R1B2RK1 w - - 4 24
3rr1k1/5p1p/3b2p1/1p1q2B1/7Q/3P3P/1P3PP1/R4RK1 b - - 5 24
3rr1k1/5p1p/3b2p1/1p2q1B1/7Q/3P3P/1P3PP1/R4RK1 w - - 6 25
3rr1k1/5p1p/3b2p1/1p2q1B1/5P1Q/3P3P/1P4P1/R4RK1 b - - 0 25
3rr1k1/5p1p/3b2p1/1p4B1/3q1P1Q/3P3P/1P4P1/R4RK1 w - - 1 26
3rr1k1/5p1p/3b2p1/1p4B1/3q1P1Q/3P3P/1P4P1/R4R1K b - - 2 26
2r1r1k1/5p1p/3b2p1/1p4B1/3q1P1Q/3P3P/1P4P1/R4R1K w - - 3 27
2r1r1k1/5p1p/3b1Bp1/1p6/3q1P1Q/3P3P/1P4P1/R4R1K b - - 4 27
2r1rbk1/5p1p/5Bp1/1p6/3q1P1Q/3P3P/1P4P1/R4R1K w - - 5 28
2r1rbk1/5p1p/6p1/1p6/3B1P1Q/3P3P/1P4P1/R4R1K b - - 0 28
